project,amount,billDate,type
FE5AB/6AB,-1999.85,2020-06-01,01-Vendor
FE5AB/6AB,-1600.0,2020-06-01,01-Vendor
FE5AB/6AB,-1233.33,2020-09-01,01-Vendor
FE5AB/6AB,-1015.87,2019-10-01,01-Vendor
FE5AB/6AB,-506.87,2020-02-01,01-Vendor
FE5AB/6AB,-450.0,2020-03-01,01-Vendor
FE5AB/6AB,-300.0,2020-10-01,01-Vendor
FE5AB/6AB,-300.0,2020-11-01,01-Vendor
FE5AB/6AB,-0.0,2020-02-01,01-Vendor
FE5AB/6AB,215888.80000000002,2020-11-04,03-Revenue
FE5AB/6AB,431777.60000000003,2020-01-30,03-Revenue
FE5AB/6AB,431777.60000000003,2020-03-30,03-Revenue
FE5AB/6AB,431777.60000000003,2020-06-30,03-Revenue
FE5AB/6AB,647666.4,2020-10-31,03-Revenue
FE5AB/6AB_3rd Party_1,80000.0,2020-08-07,03-Revenue
FE5AB/6AB_3rd Party_2,85000.0,2020-09-30,03-Revenue
FE5AB/6AB_Extension,130000.0,2020-08-30,03-Revenue
GAC,-15225.544500000004,2021-02-01,02-RBEI
GAC,-15094.5185,2021-03-01,02-RBEI
GAC,-14506.211500000003,2021-01-01,02-RBEI
GAC,-12776.161999999998,2021-04-01,02-RBEI
GAC,-9373.2,2020-07-01,01-Vendor
GAC,-5148.49,2020-09-01,01-Vendor
GAC,-4944.0,2020-10-01,01-Vendor
GAC,-4901.88,2020-11-01,01-Vendor
GAC,-4874.84,2021-01-01,01-Vendor
GAC,-4847.8,2020-12-01,01-Vendor
GAC,-4686.6,2020-08-01,01-Vendor
GAC,168000.0,2021-09-30,03-Revenue
GAC,336000.0,2020-11-30,03-Revenue
GAC,503999.99999999994,2021-03-30,03-Revenue
GAC,672000.0,2019-11-30,03-Revenue
GAC_Complex Driver,-59976.43200000003,2021-08-01,02-RBEI
GAC_Complex Driver,-59920.793,2021-10-01,02-RBEI
GAC_Complex Driver,-59920.793,2021-11-01,02-RBEI
GAC_Complex Driver,-59920.793,2021-12-01,02-RBEI
GAC_Complex Driver,-50678.95000000001,2021-09-01,02-RBEI
GAC_Complex Driver,-40838.15,2021-07-01,02-RBEI
GAC_Complex Driver,-37465.10100000001,2021-06-01,02-RBEI
GAC_Complex Driver,-30451.089000000007,2021-02-01,02-RBEI
GAC_Complex Driver,-30189.037,2021-03-01,02-RBEI
GAC_Complex Driver,-29012.423000000006,2021-01-01,02-RBEI
GAC_Complex Driver,-25552.323999999997,2021-04-01,02-RBEI
GAC_Complex Driver,-21995.913999999997,2021-05-01,02-RBEI
GAC_Complex Driver,416000.00000000006,2021-03-01,03-Revenue
GAC_Complex Driver,416000.00000000006,2022-05-01,03-Revenue
GAC_Complex Driver,1248000.0,2021-11-30,03-Revenue
GE12B,-111600.0,2019-02-01,01-Vendor
GE12B,-84600.0,2019-01-01,01-Vendor
GE12B,-64912.5,2019-08-01,01-Vendor
GE12B,-48600.0,2019-07-01,01-Vendor
GE12B,-43637.925,2019-11-01,01-Vendor
GE12B,-41625.0,2019-10-01,01-Vendor
GE12B,-36000.0,2019-03-01,01-Vendor
GE12B,-35993.3,2019-12-01,01-Vendor
GE12B,-34537.5,2019-01-01,01-Vendor
GE12B,-33986.5,2019-02-01,01-Vendor
GE12B,-32400.0,2019-02-01,01-Vendor
GE12B,-31387.5,2019-09-01,01-Vendor
GE12B,-30150.0,2018-12-01,01-Vendor
GE12B,-29340.0,2019-04-01,01-Vendor
GE12B,-28800.0,2019-02-01,01-Vendor
GE12B,-23175.0,2019-02-01,01-Vendor
GE12B,-21850.0,2019-03-01,01-Vendor
GE12B,-21850.0,2019-05-01,01-Vendor
GE12B,-21600.0,2019-02-01,01-Vendor
GE12B,-20887.1,2019-04-01,01-Vendor
GE12B,-19850.0,2019-07-01,01-Vendor
GE12B,-19850.0,2019-08-01,01-Vendor
GE12B,-18916.67,2019-06-01,01-Vendor
GE12B,-17883.0,2019-03-01,01-Vendor
GE12B,-15900.0,2019-10-01,01-Vendor
GE12B,-14400.0,2018-12-01,01-Vendor
GE12B,-13233.33,2019-09-01,01-Vendor
GE12B,-10784.0,2019-03-01,01-Vendor
GE12B,-10125.0,2018-12-01,01-Vendor
GE12B,-8783.0,2019-10-01,01-Vendor
GE12B,-5419.35,2019-10-01,01-Vendor
GE12B,-4000.0,2019-07-01,01-Vendor
GE12B,-4000.0,2019-08-01,01-Vendor
GE12B,-3565.0,2019-07-01,01-Vendor
GE12B,-3028.75,2019-05-01,01-Vendor
GE12B,-2666.67,2019-09-01,01-Vendor
GE12B,94999.99840000001,2020-02-28,03-Revenue
GE12B,380000.0042,2019-07-04,03-Revenue
GE12B,475000.00260000007,2019-08-30,03-Revenue
GE13,-102600.0,2019-06-01,01-Vendor
GE13,-59200.0,2020-05-01,01-Vendor
GE13,-55248.75,2020-04-01,01-Vendor
GE13,-55125.0,2019-11-01,01-Vendor
GE13,-54450.0,2019-03-01,01-Vendor
GE13,-53550.42,2020-04-01,01-Vendor
GE13,-53550.0,2019-01-01,01-Vendor
GE13,-53145.0,2020-05-01,01-Vendor
GE13,-52593.75,2020-03-01,01-Vendor
GE13,-52402.5,2020-04-01,01-Vendor
GE13,-52312.73,2020-04-01,01-Vendor
GE13,-52098.75,2020-03-01,01-Vendor
GE13,-51356.25,2020-03-01,01-Vendor
GE13,-51300.0,2019-01-01,01-Vendor
GE13,-51232.5,2020-03-01,01-Vendor
GE13,-51070.175,2019-11-01,01-Vendor
GE13,-50737.5,2020-03-01,01-Vendor
GE13,-50670.0,2019-11-01,01-Vendor
GE13,-50670.0,2020-05-01,01-Vendor
GE13,-50539.3,2019-12-01,01-Vendor
GE13,-50186.25,2019-07-01,01-Vendor
GE13,-50051.25,2020-04-01,01-Vendor
GE13,-49938.75,2019-07-01,01-Vendor
GE13,-49927.5,2019-10-01,01-Vendor
GE13,-49680.0,2020-05-01,01-Vendor
GE13,-49583.7,2019-12-01,01-Vendor
GE13,-49275.0,2020-04-01,01-Vendor
GE13,-49159.025,2019-11-01,01-Vendor
GE13,-48948.75,2019-07-01,01-Vendor
GE13,-48937.5,2019-05-01,01-Vendor
GE13,-48937.5,2019-11-01,01-Vendor
GE13,-48813.75,2019-10-01,01-Vendor
GE13,-48633.75,2019-08-01,01-Vendor
GE13,-48375.0,2019-01-01,01-Vendor
GE13,-47823.75,2020-06-01,01-Vendor
GE13,-47767.5,2019-08-01,01-Vendor
GE13,-47700.0,2019-10-01,01-Vendor
GE13,-47587.64,2020-05-01,01-Vendor
GE13,-47340.0,2019-07-01,01-Vendor
GE13,-47081.25,2019-12-01,01-Vendor
GE13,-46901.25,2019-08-01,01-Vendor
GE13,-46698.75,2020-04-01,01-Vendor
GE13,-46091.25,2019-10-01,01-Vendor
GE13,-45967.5,2019-12-01,01-Vendor
GE13,-45899.45,2020-03-01,01-Vendor
GE13,-45720.0,2019-11-01,01-Vendor
GE13,-45607.5,2020-04-01,01-Vendor
GE13,-45348.75,2019-12-01,01-Vendor
GE13,-44977.5,2019-12-01,01-Vendor
GE13,-44887.5,2019-06-01,01-Vendor
GE13,-44775.0,2020-07-01,01-Vendor
GE13,-44741.25,2020-05-01,01-Vendor
GE13,-44583.75,2020-03-01,01-Vendor
GE13,-44550.0,2019-03-01,01-Vendor
GE13,-44549.53,2020-03-01,01-Vendor
GE13,-44426.25,2019-08-01,01-Vendor
GE13,-43998.75,2019-07-01,01-Vendor
GE13,-43987.5,2019-11-01,01-Vendor
GE13,-43987.5,2019-12-01,01-Vendor
GE13,-43616.25,2020-05-01,01-Vendor
GE13,-43425.0,2019-11-01,01-Vendor
GE13,-43312.5,2019-05-01,01-Vendor
GE13,-43065.0,2019-09-01,01-Vendor
GE13,-42806.25,2019-09-01,01-Vendor
GE13,-42693.75,2019-09-01,01-Vendor
GE13,-42300.0,2019-06-01,01-Vendor
GE13,-42075.05,2020-05-01,01-Vendor
GE13,-42075.0,2019-03-01,01-Vendor
GE13,-41861.25,2020-06-01,01-Vendor
GE13,-40950.0,2019-04-01,01-Vendor
GE13,-40500.0,2019-04-01,01-Vendor
GE13,-39903.75,2019-10-01,01-Vendor
GE13,-39600.0,2019-08-01,01-Vendor
GE13,-39375.0,2019-05-01,01-Vendor
GE13,-39262.5,2019-06-01,01-Vendor
GE13,-39228.75,2020-06-01,01-Vendor
GE13,-39093.75,2019-10-01,01-Vendor
GE13,-39060.0,2019-09-01,01-Vendor
GE13,-38925.0,2019-10-01,01-Vendor
GE13,-38362.5,2019-06-01,01-Vendor
GE13,-38362.5,2019-08-01,01-Vendor
GE13,-38025.0,2019-06-01,01-Vendor
GE13,-37800.0,2019-04-01,01-Vendor
GE13,-37800.0,2019-09-01,01-Vendor
GE13,-37800.0,2019-10-01,01-Vendor
GE13,-37350.0,2019-05-01,01-Vendor
GE13,-37237.5,2019-09-01,01-Vendor
GE13,-36330.0,2021-01-01,01-Vendor
GE13,-36330.0,2021-02-01,01-Vendor
GE13,-35662.0,2020-06-01,01-Vendor
GE13,-35490.0,2020-12-01,01-Vendor
GE13,-35055.0,2020-01-01,01-Vendor
GE13,-34560.0,2019-01-01,01-Vendor
GE13,-33813.0,2019-07-01,01-Vendor
GE13,-33750.0,2019-04-01,01-Vendor
GE13,-32850.0,2019-06-01,01-Vendor
GE13,-32625.0,2018-11-01,01-Vendor
GE13,-32625.0,2018-12-01,01-Vendor
GE13,-32175.0,2019-08-01,01-Vendor
GE13,-31680.0,2019-03-01,01-Vendor
GE13,-31590.0,2019-05-01,01-Vendor
GE13,-31427.8,2019-11-01,01-Vendor
GE13,-30993.75,2020-01-01,01-Vendor
GE13,-30600.0,2019-05-01,01-Vendor
GE13,-29295.0,2020-01-01,01-Vendor
GE13,-29250.0,2020-02-01,01-Vendor
GE13,-29160.0,2019-06-01,01-Vendor
GE13,-29070.0,2020-01-01,01-Vendor
GE13,-28800.0,2020-01-01,01-Vendor
GE13,-28125.0,2019-02-01,01-Vendor
GE13,-28057.5,2020-01-01,01-Vendor
GE13,-27850.0,2019-11-01,01-Vendor
GE13,-27562.5,2019-05-01,01-Vendor
GE13,-26775.0,2020-01-01,01-Vendor
GE13,-25410.0,2020-04-01,01-Vendor
GE13,-25348.3,2019-09-01,01-Vendor
GE13,-25200.0,2020-02-01,01-Vendor
GE13,-25016.25,2020-08-01,01-Vendor
GE13,-23850.0,2019-12-01,01-Vendor
GE13,-23850.0,2020-05-01,01-Vendor
GE13,-23626.1,2020-01-01,01-Vendor
GE13,-23625.0,2020-02-01,01-Vendor
GE13,-23400.0,2019-06-01,01-Vendor
GE13,-23287.5,2019-01-01,01-Vendor
GE13,-22949.9,2020-01-01,01-Vendor
GE13,-22702.5,2020-02-01,01-Vendor
GE13,-21850.0,2019-03-01,01-Vendor
GE13,-21850.0,2019-05-01,01-Vendor
GE13,-21527.42,2020-04-01,01-Vendor
GE13,-21150.0,2020-02-01,01-Vendor
GE13,-21000.0,2019-06-01,01-Vendor
GE13,-21000.0,2019-11-01,01-Vendor
GE13,-20887.1,2019-04-01,01-Vendor
GE13,-19974.38,2020-07-01,01-Vendor
GE13,-19950.0,2021-01-01,01-Vendor
GE13,-19850.0,2019-07-01,01-Vendor
GE13,-19850.0,2019-08-01,01-Vendor
GE13,-19850.0,2020-01-01,01-Vendor
GE13,-19850.0,2020-02-01,01-Vendor
GE13,-19850.0,2020-03-01,01-Vendor
GE13,-18988.125,2020-09-01,01-Vendor
GE13,-18916.67,2019-06-01,01-Vendor
GE13,-18354.38,2020-11-01,01-Vendor
GE13,-18354.375,2020-11-01,01-Vendor
GE13,-18000.0,2019-05-01,01-Vendor
GE13,-18000.0,2020-04-01,01-Vendor
GE13,-18000.0,2020-05-01,01-Vendor
GE13,-18000.0,2020-07-01,01-Vendor
GE13,-17883.0,2019-03-01,01-Vendor
GE13,-17729.5,2019-11-01,01-Vendor
GE13,-17500.0,2018-11-01,01-Vendor
GE13,-17500.0,2018-12-01,01-Vendor
GE13,-17227.22,2019-03-01,01-Vendor
GE13,-16875.0,2018-12-01,01-Vendor
GE13,-16850.0,2020-06-01,01-Vendor
GE13,-16650.0,2018-12-01,01-Vendor
GE13,-16297.85,2019-11-01,01-Vendor
GE13,-16200.0,2019-09-01,01-Vendor
GE13,-15900.0,2019-10-01,01-Vendor
GE13,-15840.0,2019-08-01,01-Vendor
GE13,-15750.0,2018-11-01,01-Vendor
GE13,-15750.0,2018-12-01,01-Vendor
GE13,-15637.5,2019-01-01,01-Vendor
GE13,-15350.0,2020-07-01,01-Vendor
GE13,-15187.5,2020-02-01,01-Vendor
GE13,-15172.5,2020-03-01,01-Vendor
GE13,-14850.0,2019-09-01,01-Vendor
GE13,-14850.0,2020-07-01,01-Vendor
GE13,-14540.63,2020-10-01,01-Vendor
GE13,-14400.0,2019-07-01,01-Vendor
GE13,-14000.0,2020-01-01,01-Vendor
GE13,-13500.0,2020-02-01,01-Vendor
GE13,-13351.5,2019-09-01,01-Vendor
GE13,-13233.33,2019-09-01,01-Vendor
GE13,-13013.0,2020-07-01,01-Vendor
GE13,-12125.0,2020-08-01,01-Vendor
GE13,-11925.0,2018-12-01,01-Vendor
GE13,-11587.5,2019-05-01,01-Vendor
GE13,-11250.0,2020-07-01,01-Vendor
GE13,-10500.0,2019-02-01,01-Vendor
GE13,-9196.5,2019-05-01,01-Vendor
GE13,-9000.0,2020-06-01,01-Vendor
GE13,-8000.14,2020-05-01,01-Vendor
GE13,-7661.29,2019-12-01,01-Vendor
GE13,-7200.0,2019-08-01,01-Vendor
GE13,-7200.0,2020-06-01,01-Vendor
GE13,-7063.11,2020-06-01,01-Vendor
GE13,-6689.0,2020-05-01,01-Vendor
GE13,-6263.5,2020-01-01,01-Vendor
GE13,-6246.5,2019-04-01,01-Vendor
GE13,-6133.33,2020-04-01,01-Vendor
GE13,-6100.0,2020-03-01,01-Vendor
GE13,-6000.0,2020-04-01,01-Vendor
GE13,-5702.29,2019-06-01,01-Vendor
GE13,-5419.35,2019-10-01,01-Vendor
GE13,-5175.0,2019-03-01,01-Vendor
GE13,-5122.22,2020-08-01,01-Vendor
GE13,-4922.0,2019-02-01,01-Vendor
GE13,-4433.37,2020-05-01,01-Vendor
GE13,-4000.0,2019-07-01,01-Vendor
GE13,-4000.0,2019-08-01,01-Vendor
GE13,-4000.0,2020-03-01,01-Vendor
GE13,-3833.33,2020-07-01,01-Vendor
GE13,-3780.0,2019-09-01,01-Vendor
GE13,-3600.0,2019-02-01,01-Vendor
GE13,-3600.0,2020-08-01,01-Vendor
GE13,-3500.0,2019-07-01,01-Vendor
GE13,-3161.0,2020-05-01,01-Vendor
GE13,-2967.74,2020-03-01,01-Vendor
GE13,-2915.53,2020-12-01,01-Vendor
GE13,-2835.0,2020-05-01,01-Vendor
GE13,-2750.0,2020-08-01,01-Vendor
GE13,-2700.0,2020-06-01,01-Vendor
GE13,-2700.0,2020-09-01,01-Vendor
GE13,-2666.67,2019-09-01,01-Vendor
GE13,-2560.0,2019-08-01,01-Vendor
GE13,-2187.5,2020-09-01,01-Vendor
GE13,-1999.8484,2020-06-01,01-Vendor
GE13,-1800.0,2020-08-01,01-Vendor
GE13,-1600.0,2020-06-01,01-Vendor
GE13,-1476.49,2019-11-01,01-Vendor
GE13,-1233.33,2020-09-01,01-Vendor
GE13,-1105.59,2020-01-01,01-Vendor
GE13,-999.18,2020-06-01,01-Vendor
GE13,-736.0,2020-02-01,01-Vendor
GE13,-670.5,2021-02-01,01-Vendor
GE13,-666.0,2020-08-01,01-Vendor
GE13,-500.0,2020-06-01,01-Vendor
GE13,-450.0,2020-04-01,01-Vendor
GE13,-384.75,2020-08-01,01-Vendor
GE13,-235.0,2020-04-01,01-Vendor
GE13,-78.55,2020-07-01,01-Vendor
GE13,-52.33,2020-05-01,01-Vendor
GE13,359800.04000000004,2020-11-30,03-Revenue
GE13,539699.954,2019-11-30,03-Revenue
GE13,539699.954,2020-02-28,03-Revenue
GE13,719599.974,2019-03-30,03-Revenue
GE13,719599.974,2019-08-30,03-Revenue
GE13,719599.974,2020-05-31,03-Revenue
HMI,-41370.0,2020-12-01,01-Vendor
HMI,-40740.0,2021-03-01,01-Vendor
HMI,-39900.0,2020-09-01,01-Vendor
HMI,-37800.0,2020-08-01,01-Vendor
HMI,-36120.0,2021-01-01,01-Vendor
HMI,-35280.0,2020-11-01,01-Vendor
HMI,-31395.0,2020-10-01,01-Vendor
HMI,-28611.84,2020-02-01,01-Vendor
HMI,-25370.7,2019-12-01,01-Vendor
HMI,-21210.0,2021-02-01,01-Vendor
HMI,-19800.0,2020-01-01,01-Vendor
HMI,-16170.0,2021-04-01,01-Vendor
Overhead,-164363.0065,2021-10-01,02-RBEI
Overhead,-164363.0065,2021-11-01,02-RBEI
Overhead,-164363.0065,2021-12-01,02-RBEI
Overhead,-152255.44500000004,2021-02-01,02-RBEI
Overhead,-150945.185,2021-03-01,02-RBEI
Overhead,-149941.08000000007,2021-08-01,02-RBEI
Overhead,-145062.11500000002,2021-01-01,02-RBEI
Overhead,-140537.78199999998,2021-04-01,02-RBEI
Overhead,-126697.37500000003,2021-09-01,02-RBEI
Overhead,-124883.67000000001,2021-06-01,02-RBEI
Overhead,-109979.56999999998,2021-05-01,02-RBEI
Overhead,-102095.375,2021-07-01,02-RBEI
RBJAC,-495000.0,2020-09-01,01-Vendor
RBJAC,-495000.0,2020-11-01,01-Vendor
RBJAC,-330000.0,2020-10-01,01-Vendor
RBJAC,-330000.0,2020-12-01,01-Vendor
RBJAC,-15225.544500000004,2021-02-01,02-RBEI
RBJAC,-15094.5185,2021-03-01,02-RBEI
RBJAC,-14506.211500000003,2021-01-01,02-RBEI
RBJAC,-12776.161999999998,2021-04-01,02-RBEI
RBJAC,-10997.956999999999,2021-05-01,02-RBEI
RBJAC,-2700.0,2021-03-01,01-Vendor
RBJAC,409200.00000000006,2021-04-30,03-Revenue
RBJAC,613800.0,2020-09-30,03-Revenue
RBJAC,1023000.0,2020-11-30,03-Revenue
RBJAC_commercial,-395000.0,2021-04-01,01-Vendor
RBJAC_commercial,-395000.0,2021-05-01,01-Vendor
RBJAC_commercial,-395000.0,2021-06-01,01-Vendor
RBJAC_commercial,-395000.0,2021-07-01,01-Vendor
RBJAC_commercial,-15225.544500000004,2021-02-01,02-RBEI
RBJAC_commercial,-15094.5185,2021-03-01,02-RBEI
RBJAC_commercial,-14506.211500000003,2021-01-01,02-RBEI
RBJAC_commercial,-12776.161999999998,2021-04-01,02-RBEI
RBJAC_commercial,-12488.367000000002,2021-06-01,02-RBEI
RBJAC_commercial,-10997.956999999999,2021-05-01,02-RBEI
RBJAC_commercial,340000.0,2021-04-01,03-Revenue
RBJAC_commercial,510000.0,2021-06-30,03-Revenue
RBJAC_commercial,850000.0,2021-06-30,03-Revenue
UAES,128790.0,2019-11-30,03-Revenue
V&V Testing,-36330.0,2021-03-01,01-Vendor
V&V Testing,-9400.0,2020-11-01,01-Vendor
V&V Testing,-490.0,2021-03-01,01-Vendor
V&V Testing,-240.0,2020-11-01,01-Vendor
VF11-A2,81000.0,2023-03-31,03-Revenue
VF11-A2,324000.0,2022-03-31,03-Revenue
VF11-A2,405000.0,2022-09-30,03-Revenue
