project,amount,invoiceDate,type
GE13,-18000,2020-05-01,02-RBEI
FE5AB/6AB,-54810,2020-05-01,02-RBEI
FE5AB/6AB,-51412.06,2020-05-01,02-RBEI
GE13,-50670,2020-05-01,02-RBEI
GE13,-53145,2020-05-01,02-RBEI
FE3AH,-24300.27,2020-05-01,02-RBEI
FE5AB/6AB,-24300.2722,2020-05-01,02-RBEI
FE3AH,-50883.75,2020-05-01,02-RBEI
FE5AB/6AB,-2835,2020-05-01,02-RBEI
GE13,-2835,2020-05-01,02-RBEI
FE3AH,-37638,2020-05-01,02-RBEI
FE5AB/6AB,-25092,2020-05-01,02-RBEI
FE5AB/6AB,-47328.75,2020-05-01,02-RBEI
GE13,-43616.25,2020-05-01,02-RBEI
FE5AB/6AB,-49274.95,2020-05-01,02-RBEI
FE3AH,-52200.96,2020-05-01,02-RBEI
BYD,-30599.02,2020-05-01,02-RBEI
FE3AH,-51749.43,2020-05-01,02-RBEI
GE13,-42075.05,2020-05-01,02-RBEI
GE13,-44741.25,2020-05-01,02-RBEI
DFM,-5838,2020-06-01,02-RBEI
GE13,-500,2020-06-01,02-RBEI
BYD,-6903.58,2020-06-01,02-RBEI
GE13,-7063.11,2020-06-01,02-RBEI
FE3AH,-1600,2020-06-01,02-RBEI
FE5AB/6AB,-16850,2020-06-01,02-RBEI
FE5AB/6AB,-1600,2020-06-01,02-RBEI
GE13,-16850,2020-06-01,02-RBEI
GE13,-1600,2020-06-01,02-RBEI
FE5AB/6AB,-100000,2020-06-01,02-RBEI
FE3AH,-51176.25,2020-06-01,02-RBEI
GE13,-35662,2020-06-01,02-RBEI
GE13,-39228.75,2020-06-01,02-RBEI
FE3AH,-1999.85,2020-06-01,02-RBEI
FE5AB/6AB,-1999.85,2020-06-01,02-RBEI
GE13,-1999.8484,2020-06-01,02-RBEI
FE5AB/6AB,-43260,2020-06-01,02-RBEI
FE5AB/6AB,-51165,2020-06-01,02-RBEI
FE5AB/6AB,-48938.18,2020-06-01,02-RBEI
GE13,-2700,2020-06-01,02-RBEI
GE13,-7200,2020-06-01,02-RBEI
FE3AH,-21768.75,2020-06-01,02-RBEI
FE5AB/6AB,-21768.75,2020-06-01,02-RBEI
FE3AH,-48127.5,2020-06-01,02-RBEI
FE3AH,-30692.25,2020-06-01,02-RBEI
FE5AB/6AB,-20461.5,2020-06-01,02-RBEI
DFM,-40680,2020-06-01,02-RBEI
FE5AB/6AB,-48870,2020-06-01,02-RBEI
DFM,-43425,2020-06-01,02-RBEI
GE13,-47823.75,2020-06-01,02-RBEI
FE5AB/6AB,-42862.5,2020-06-01,02-RBEI
FE3AH,-41850,2020-06-01,02-RBEI
BYD,-30599.02,2020-06-01,02-RBEI
FE3AH,-45000,2020-06-01,02-RBEI
GE13,-9000,2020-06-01,02-RBEI
GE13,-999.18,2020-06-01,02-RBEI
GE13,-41861.25,2020-06-01,02-RBEI
DFM,-15300,2020-07-01,02-RBEI
FE3AH,-36494,2020-07-01,02-RBEI
FE3AH,-13013,2020-07-01,02-RBEI
FE5AB/6AB,-13013,2020-07-01,02-RBEI
GE13,-13013,2020-07-01,02-RBEI
BYD,-6923,2020-07-01,02-RBEI
DFM,-1295,2020-07-01,02-RBEI
GE13,-11250,2020-07-01,02-RBEI
FE3AH,-350,2020-07-01,02-RBEI
GAC,-9373.2,2020-07-01,02-RBEI
GE13,-78.55,2020-07-01,02-RBEI
FE5AB/6AB,-60000,2020-07-01,02-RBEI
FE5AB/6AB,-15350,2020-07-01,02-RBEI
GE13,-15350,2020-07-01,02-RBEI
FE3AH,-41512,2020-07-01,02-RBEI
FE3AH,-19974.375,2020-07-01,02-RBEI
GE13,-19974.38,2020-07-01,02-RBEI
FE3AH,-3833.33,2020-07-01,02-RBEI
FE5AB/6AB,-3833.33,2020-07-01,02-RBEI
GE13,-3833.33,2020-07-01,02-RBEI
FE5AB/6AB,-48825,2020-07-01,02-RBEI
FE5AB/6AB,-56362,2020-07-01,02-RBEI
FE5AB/6AB,-46612.5,2020-07-01,02-RBEI
FE3AH,-25511.25,2020-07-01,02-RBEI
FE5AB/6AB,-25511.25,2020-07-01,02-RBEI
FE3AH,-53887.5,2020-07-01,02-RBEI
FE3AH,-35100,2020-07-01,02-RBEI
FE5AB/6AB,-23400,2020-07-01,02-RBEI
DFM,-34200,2020-07-01,02-RBEI
FE5AB/6AB,-49275,2020-07-01,02-RBEI
DFM,-23400,2020-07-01,02-RBEI
GE13,-44775,2020-07-01,02-RBEI
FE3AH,-40207.5,2020-07-01,02-RBEI
BYD,-52068.75,2020-07-01,02-RBEI
FE3AH,-48000,2020-07-01,02-RBEI
GE13,-18000,2020-07-01,02-RBEI
GE13,-14850,2020-07-01,02-RBEI
DFM,-14100,2020-08-01,02-RBEI
DFM,-8520.3,2020-08-01,02-RBEI
FE3AH,-350,2020-08-01,02-RBEI
FE3AH,-5100,2020-08-01,02-RBEI
BYD,-5423,2020-08-01,02-RBEI
GAC,-4686.6,2020-08-01,02-RBEI
GE13,-666,2020-08-01,02-RBEI
GE13,-384.75,2020-08-01,02-RBEI
FE5AB/6AB,-65000,2020-08-01,02-RBEI
FE3AH,-5122.22,2020-08-01,02-RBEI
FE5AB/6AB,-5122.22,2020-08-01,02-RBEI
GE13,-5122.22,2020-08-01,02-RBEI
FE3AH,-25016.25,2020-08-01,02-RBEI
GE13,-25016.25,2020-08-01,02-RBEI
HMI,-37800,2020-08-01,02-RBEI
FE3AH,-2750,2020-08-01,02-RBEI
FE5AB/6AB,-2750,2020-08-01,02-RBEI
GE13,-2750,2020-08-01,02-RBEI
FE5AB/6AB,-52815,2020-08-01,02-RBEI
FE5AB/6AB,-47250,2020-08-01,02-RBEI
FE5AB/6AB,-49717.5,2020-08-01,02-RBEI
GE13,-1800,2020-08-01,02-RBEI
FE3AH,-19635,2020-08-01,02-RBEI
FE5AB/6AB,-19635,2020-08-01,02-RBEI
FE3AH,-45450,2020-08-01,02-RBEI
FE3AH,-26550,2020-08-01,02-RBEI
FE5AB/6AB,-26550,2020-08-01,02-RBEI
DFM,-35437.5,2020-08-01,02-RBEI
FE5AB/6AB,-42750,2020-08-01,02-RBEI
DFM,-15412.5,2020-08-01,02-RBEI
FE3AH,-36787.5,2020-08-01,02-RBEI
BYD,-47280,2020-08-01,02-RBEI
FE3AH,-46316.25,2020-08-01,02-RBEI
GE13,-12125,2020-08-01,02-RBEI
GE13,-3600,2020-08-01,02-RBEI
DFM,-8100,2020-09-01,02-RBEI
FE3AH,-3064.28,2020-09-01,02-RBEI
RBJAC,-495000,2020-09-01,02-RBEI
GAC,-5148.49,2020-09-01,02-RBEI
FE3AH,-1233.33,2020-09-01,02-RBEI
FE5AB/6AB,-1233.33,2020-09-01,02-RBEI
GE13,-1233.33,2020-09-01,02-RBEI
FE3AH,-18988.13,2020-09-01,02-RBEI
GE13,-18988.125,2020-09-01,02-RBEI
HMI,-39900,2020-09-01,02-RBEI
FE3AH,-2187.5,2020-09-01,02-RBEI
FE5AB/6AB,-2187.5,2020-09-01,02-RBEI
GE13,-2187.5,2020-09-01,02-RBEI
FE5AB/6AB,-40425,2020-09-01,02-RBEI
FE5AB/6AB,-32962.5,2020-09-01,02-RBEI
FE5AB/6AB,-38088.75,2020-09-01,02-RBEI
FE3AH,-23229.38,2020-09-01,02-RBEI
FE5AB/6AB,-23229.375,2020-09-01,02-RBEI
FE3AH,-28687.5,2020-09-01,02-RBEI
FE3AH,-18000,2020-09-01,02-RBEI
FE5AB/6AB,-18000,2020-09-01,02-RBEI
DFM,-55800,2020-09-01,02-RBEI
FE5AB/6AB,-23850,2020-09-01,02-RBEI
DFM,-1687.5,2020-09-01,02-RBEI
FE3AH,-39600,2020-09-01,02-RBEI
BYD,-19140,2020-09-01,02-RBEI
FE3AH,-14936.25,2020-09-01,02-RBEI
GE13,-2700,2020-09-01,02-RBEI
BYD,-5329.2,2020-09-01,02-RBEI
FE3AH,-4430,2020-10-01,02-RBEI
DFM,-16818.05,2020-10-01,02-RBEI
GAC,-4944,2020-10-01,02-RBEI
FE5AB/6AB,-300,2020-10-01,02-RBEI
RBJAC,-330000,2020-10-01,02-RBEI
BJEV,-250000,2020-10-01,02-RBEI
FE3AH,-14540.625,2020-10-01,02-RBEI
GE13,-14540.63,2020-10-01,02-RBEI
HMI,-31395,2020-10-01,02-RBEI
FE5AB/6AB,-22387.5,2020-10-01,02-RBEI
FE5AB/6AB,-35212.5,2020-10-01,02-RBEI
FE3AH,-18279.375,2020-10-01,02-RBEI
FE5AB/6AB,-18279.38,2020-10-01,02-RBEI
FE3AH,-14737.5,2020-10-01,02-RBEI
FE5AB/6AB,-14737.5,2020-10-01,02-RBEI
DFM,-44437.5,2020-10-01,02-RBEI
FE5AB/6AB,-32850,2020-10-01,02-RBEI
DFM,0,2020-10-01,02-RBEI
FE3AH,-33975,2020-10-01,02-RBEI
AE Testing,-59535,2020-10-01,02-RBEI
DFM,-3775.75,2020-11-01,02-RBEI
FE3AH,-10509,2020-11-01,02-RBEI
DFM,-10397.84,2020-11-01,02-RBEI
FE3AH,-1610,2020-11-01,02-RBEI
GAC,-4901.88,2020-11-01,02-RBEI
FE5AB/6AB,-300,2020-11-01,02-RBEI
RBJAC,-495000,2020-11-01,02-RBEI
GE13,-18354.38,2020-11-01,02-RBEI
GE13,-18354.375,2020-11-01,02-RBEI
HMI,-35280,2020-11-01,02-RBEI
FE5AB/6AB,-38700,2020-11-01,02-RBEI
FE3AH,-14503.13,2020-11-01,02-RBEI
FE5AB/6AB,-14503.125,2020-11-01,02-RBEI
FE3AH,-8100,2020-11-01,02-RBEI
FE5AB/6AB,-8100,2020-11-01,02-RBEI
DFM,-61762.5,2020-11-01,02-RBEI
FE5AB/6AB,-30600,2020-11-01,02-RBEI
DFM,-21487.5,2020-11-01,02-RBEI
FE3AH,-37800,2020-11-01,02-RBEI
FE5AB/6AB,-3789.54,2020-11-01,02-RBEI
DFM,-40110,2020-11-01,02-RBEI
V&V Testing,-9400,2020-11-01,02-RBEI
V&V Testing,-240,2020-11-01,02-RBEI
DFM,-23404.84,2020-12-01,02-RBEI
FE3AH,-16117.5,2020-12-01,02-RBEI
GAC,-4847.8,2020-12-01,02-RBEI
FE3AH,-2915.53,2020-12-01,02-RBEI
GE13,-2915.53,2020-12-01,02-RBEI
HMI,-41370,2020-12-01,02-RBEI
FE5AB/6AB,-38430,2020-12-01,02-RBEI
FE3AH,-26105.63,2020-12-01,02-RBEI
FE5AB/6AB,-26105.63,2020-12-01,02-RBEI
FE3AH,-4006.88,2020-12-01,02-RBEI
FE5AB/6AB,-4006.88,2020-12-01,02-RBEI
DFM,-59062,2020-12-01,02-RBEI
DFM,-42525,2020-12-01,02-RBEI
FE3AH,-7200,2020-12-01,02-RBEI
AE Testing,-36120,2020-12-01,02-RBEI
FE5AB/6AB,-14070,2020-12-01,02-RBEI
GE13,-35490,2020-12-01,02-RBEI
RBJAC,-330000,2020-12-01,02-RBEI
BJEV,-200000,2020-12-01,02-RBEI
DFM,-5463.31,2021-01-01,02-RBEI
GE13,-19950,2021-01-01,02-RBEI
GAC,-4874.84,2021-01-01,02-RBEI
FE3AH,-38882,2021-01-01,02-RBEI
HMI,-36120,2021-01-01,02-RBEI
FE5AB/6AB,-24150,2021-01-01,02-RBEI
FE3AH,-2786.25,2021-01-01,02-RBEI
FE5AB/6AB,-2786.25,2021-01-01,02-RBEI
DFM,-32625,2021-01-01,02-RBEI
DFM,-11587.5,2021-01-01,02-RBEI
AE Testing,-27930,2021-01-01,02-RBEI
GE13,-36330,2021-01-01,02-RBEI
HMI,-21210,2021-02-01,02-RBEI
AE Testing,-27930,2021-02-01,02-RBEI
GE13,-36330,2021-02-01,02-RBEI
AE Testing,-2103.5,2021-02-01,02-RBEI
GE13,-670.5,2021-02-01,02-RBEI
FE3AH,-9348.75,2021-02-01,02-RBEI
DFM,-20137.5,2021-02-01,02-RBEI
DFM,-29925,2021-02-01,02-RBEI
FE3AH,-4548,2021-02-01,02-RBEI
RBJAC,-2700,2021-03-01,02-RBEI
Digital,-7116,2021-03-01,02-RBEI
FE3AH,-29580.75,2021-03-01,02-RBEI
BYD,-5364.72,2021-03-01,02-RBEI
BYD,-2985.4,2021-03-01,02-RBEI
HMI,-40740,2021-03-01,02-RBEI
AE Testing,-27930,2021-03-01,02-RBEI
V&V Testing,-36330,2021-03-01,02-RBEI
FE3AH,-11655,2021-03-01,02-RBEI
AE Testing,-5530,2021-03-01,02-RBEI
V&V Testing,-490,2021-03-01,02-RBEI
AE Testing,-10080,2021-04-01,02-RBEI
FE-6-A3,-3360,2021-04-01,02-RBEI
HMI,-16170,2021-04-01,02-RBEI
FE3AH,-22644,2021-04-01,02-RBEI
RBJAC_commercial,-395000,2021-04-01,02-RBEI
FE-6-A3,-34335,2021-05-01,02-RBEI
FE-6-A3,-2350,2021-05-01,02-RBEI
FE-6-A3,-19800,2021-05-01,02-RBEI
FE-6-A3,-1200,2021-05-01,02-RBEI
FE-6-A3,-600,2021-05-01,02-RBEI
FE-6-A3,-9000,2021-05-01,02-RBEI
BJEV,-350000,2021-05-01,02-RBEI
RBJAC_commercial,-395000,2021-05-01,02-RBEI
FE-6-A3,-34335,2021-06-01,02-RBEI
FE-6-A3,-2350,2021-06-01,02-RBEI
FE-6-A3,-38587.5,2021-06-01,02-RBEI
FE-6-A3,-6750,2021-06-01,02-RBEI
FE-6-A3,-12937.5,2021-06-01,02-RBEI
FE-6-A3,-1912.5,2021-06-01,02-RBEI
FE-6-A3,-1200,2021-06-01,02-RBEI
FE-6-A3,-13719.96,2021-06-01,02-RBEI
RBJAC_commercial,-395000,2021-06-01,02-RBEI
FE-6-A3,-42525,2021-07-01,02-RBEI
FE-6-A3,-13837,2021-07-01,02-RBEI
FE-6-A3,-14625,2021-07-01,02-RBEI
AUDI_PPE&CADA&CAPA,-6974,2021-07-01,02-RBEI
RBJAC_commercial,-395000,2021-07-01,02-RBEI
FE-6-A3,-42105,2021-07-01,02-RBEI
FE-6-A3,-4378,2021-07-01,02-RBEI
FE-6-A3,-47565,2021-08-01,02-RBEI
FE-6-A3,-9900,2021-08-01,02-RBEI
FE-6-A3,-4612.5,2021-08-01,02-RBEI
FE-6-A3,-1180,2021-08-01,02-RBEI
FE-6-A3,-39585,2021-09-01,02-RBEI
FE-6-A3,-11925,2021-09-01,02-RBEI
FE-6-A3,-7200,2021-09-01,02-RBEI
FE-6-A3,-86500,2021-09-01,02-RBEI
FE-6-A3,-265.1,2021-09-01,02-RBEI
FE-6-A3,-160.85,2021-09-01,02-RBEI
FE-6-A3,-1000,2021-09-01,02-RBEI
BYD,-14506.211500000003,2021-01-01,01-Vendor
GAC,-14506.211500000003,2021-01-01,01-Vendor
RBJAC,-14506.211500000003,2021-01-01,01-Vendor
BJEV,-29012.423000000006,2021-01-01,01-Vendor
GAC_Complex Driver,-29012.423000000006,2021-01-01,01-Vendor
RBJAC_commercial,-14506.211500000003,2021-01-01,01-Vendor
FE-6-A3,-14506.211500000003,2021-01-01,01-Vendor
FE3AH,-14506.211500000003,2021-01-01,01-Vendor
Overhead,-145062.11500000002,2021-01-01,01-Vendor
BYD,-15225.544500000004,2021-02-01,01-Vendor
GAC,-15225.544500000004,2021-02-01,01-Vendor
RBJAC,-15225.544500000004,2021-02-01,01-Vendor
BJEV,-30451.089000000007,2021-02-01,01-Vendor
GAC_Complex Driver,-30451.089000000007,2021-02-01,01-Vendor
RBJAC_commercial,-15225.544500000004,2021-02-01,01-Vendor
FE-6-A3,-15225.544500000004,2021-02-01,01-Vendor
FE3AH,-15225.544500000004,2021-02-01,01-Vendor
Overhead,-152255.44500000004,2021-02-01,01-Vendor
BYD,-15094.5185,2021-03-01,01-Vendor
GAC,-15094.5185,2021-03-01,01-Vendor
RBJAC,-15094.5185,2021-03-01,01-Vendor
BJEV,-30189.037,2021-03-01,01-Vendor
GAC_Complex Driver,-30189.037,2021-03-01,01-Vendor
RBJAC_commercial,-15094.5185,2021-03-01,01-Vendor
FE-6-A3,-15094.5185,2021-03-01,01-Vendor
FE3AH,-15094.5185,2021-03-01,01-Vendor
Overhead,-150945.185,2021-03-01,01-Vendor
BYD,-12776.161999999998,2021-04-01,01-Vendor
GAC,-12776.161999999998,2021-04-01,01-Vendor
RBJAC,-12776.161999999998,2021-04-01,01-Vendor
BJEV,-25552.323999999997,2021-04-01,01-Vendor
GAC_Complex Driver,-25552.323999999997,2021-04-01,01-Vendor
RBJAC_commercial,-12776.161999999998,2021-04-01,01-Vendor
FE-6-A3,-12776.161999999998,2021-04-01,01-Vendor
Overhead,-140537.78199999998,2021-04-01,01-Vendor
BYD,-10997.956999999999,2021-05-01,01-Vendor
RBJAC,-10997.956999999999,2021-05-01,01-Vendor
BJEV,-21995.913999999997,2021-05-01,01-Vendor
GAC_Complex Driver,-21995.913999999997,2021-05-01,01-Vendor
RBJAC_commercial,-10997.956999999999,2021-05-01,01-Vendor
FE-6-A3,-10997.956999999999,2021-05-01,01-Vendor
AUDI_PPE&CADA&CAPA,-21995.913999999997,2021-05-01,01-Vendor
Overhead,-109979.56999999998,2021-05-01,01-Vendor
BYD,-12488.367000000002,2021-06-01,01-Vendor
BJEV,-12488.367000000002,2021-06-01,01-Vendor
GAC_Complex Driver,-37465.10100000001,2021-06-01,01-Vendor
RBJAC_commercial,-12488.367000000002,2021-06-01,01-Vendor
FE-6-A3,-12488.367000000002,2021-06-01,01-Vendor
AUDI_PPE&CADA&CAPA,-37465.10100000001,2021-06-01,01-Vendor
Overhead,-124883.67000000001,2021-06-01,01-Vendor
BYD,-10209.5375,2021-07-01,01-Vendor
GAC_Complex Driver,-40838.15,2021-07-01,01-Vendor
FE-6-A3,-20419.075,2021-07-01,01-Vendor
AUDI_PPE&CADA&CAPA,-30628.612500000003,2021-07-01,01-Vendor
Overhead,-102095.375,2021-07-01,01-Vendor
BYD,-14994.108000000007,2021-08-01,01-Vendor
GAC_Complex Driver,-59976.43200000003,2021-08-01,01-Vendor
FE-6-A3,-29988.216000000015,2021-08-01,01-Vendor
AUDI_PPE&CADA&CAPA,-44982.32400000003,2021-08-01,01-Vendor
Overhead,-149941.08000000007,2021-08-01,01-Vendor
BYD,-12669.737500000003,2021-09-01,01-Vendor
GAC_Complex Driver,-50678.95000000001,2021-09-01,01-Vendor
FE-6-A3,-25339.475000000006,2021-09-01,01-Vendor
AUDI_PPE&CADA&CAPA,-38009.212500000016,2021-09-01,01-Vendor
Overhead,-126697.37500000003,2021-09-01,01-Vendor
GAC_Complex Driver,-59920.793,2021-10-01,01-Vendor
FE-6-A3,-14937.0915,2021-10-01,01-Vendor
AUDI_PPE&CADA&CAPA,-74708.4575,2021-10-01,01-Vendor
Overhead,-164363.0065,2021-10-01,01-Vendor
GAC_Complex Driver,-59920.793,2021-11-01,01-Vendor
FE-6-A3,-14936.0915,2021-11-01,01-Vendor
AUDI_PPE&CADA&CAPA,-74708.4575,2021-11-01,01-Vendor
Overhead,-164363.0065,2021-11-01,01-Vendor
GAC_Complex Driver,-59920.793,2021-12-01,01-Vendor
FE-6-A3,-14935.0915,2021-12-01,01-Vendor
AUDI_PPE&CADA&CAPA,-74708.4575,2021-12-01,01-Vendor
Overhead,-164363.0065,2021-12-01,01-Vendor
